query,dish_name
Pizza Chicken Double Spiced,Spiced Double Chicken Pizza
(protein-42g) banao,Butter Chicken Rice Bowl with Seekh Kebab (Protein-42g)
Three Cheers Chocolate Ice Cream.(small Scoop),Three Cheers Chocolate Ice Cream.(small Scoop)
meeal,Indian Tandoori Roll Chicken Meal
"paneer, onion & capsicum with desi sauce","Paneer, Onion & Capsicum with Desi Makhani Sauce"
rajma rice bowl ( high protein gluten free ),Rajma Rice Bowl ( High Protein / Gluten Free )
almond rocks,Almond Rocks (500g)
lunch brown,Brown Rice
pepsi,Masala Pepsi
kuch meetha chahiye,Anarsa
barbecue wala,Pepper Barbecue Chicken Pizza
lunch varuval,Chicken Varuval
ice coffee,Ice Americano Coffee
hot & crispy chicken & wings,Hot & Crispy Chicken - 1 pc
layered banao,Aloo Patta Layered Chaat
ghee tikona paratha [pack of,Ghee Tikona Paratha [Pack of 9]
sweet pinaca,Pinaca
something like infinity,Garlic Knots  Infinity Bucket (35 units)
strawberry spicy,Banana 'N Strawberry Ice Cream (Tub)
kuch mccheese chahiye,McCheese Burger Veg Combo.
kuch panjeeri chahiye,Panjeeri
wrap & chicken fried,Fried Chicken & Mozzarella Wrap
dal tadka style [paratha] bowl,Dal Tadka Dhaba Style [Paratha] Bowl
sunday chicken crury - meal,Sunday Chicken Curry - Light Meal
something nuggets,6 Pc Chicken Nuggets
something lke paneer,Chilli Paneer Sizzle
ice chocolate bavarian,Bavarian Chocolate Ice Cream
biryani wala,Chef's Special Paneer Biryani Thali
bowl [steamed rajma delhi-6,Delhi-6 Rajma [Steamed Rice] Bowl
light spicy,Aloo Dum - Light Meal
mcflurry wala,2 McFlurry Oreo (S)
protein try karna hai,HRX 25g Protein Shake (Chocolate)
sweet khaja,Kakinada khaja
cheesecake like something,New York Cheesecake
herbed mushroom spinach garlic bread,Herbed Chicken Mushroom Spinach Garlic Bread
want to try protein,Rajma Rice Bowl ( High Protein / Gluten Free )
hunan,Hunan Paneer Bowl
kuch mcsaver chahiye,McSaver Korean Mc Egg Burger.
something corn,Mexican Corn and Cheese Burger + Coke (M)
chicken banao,Spicy Baked Chicken Wings 4pc
ice coconut tender,Tender Coconut Ice Cream
coke ml),Coke (250 mL)
nutella something,Naughty Nutella Ice Cream
chicken wala,Rice & Chicken Popcorn Delight Meal
keri veg,Keri no ras
French Vanilla Biscuit Shake,French Vanilla Biscuit Shake
hakka noodles bowl,Veg Hakka Noodles Bowl
methi wala,Methi na Gota
cheesy wala,Cheesy Dip
combo,McSpicy Premium Burger Chicken Combo
bharta lunch,Pork Bharta
fanta like something,Fanta
kuch chicken chahiye,Stay Home Chicken Bucket
non-veg meals (for 1),Andhra Non-veg Meals (For 1)
Midnight Spicy Zinger & Popcorn Meal,Midnight Spicy Zinger & Popcorn Meal
rabdi spicy,Rabdi
krispy kreme doughnuts and coffee,Chocolate Iced Glazed  Doughnut
birthday,Birthday Party Package - McVeggie
chicken like something,Chicken Tikka Supreme
party,Party for 2 (Veg) @Rs. 75 off
dhokli banao,Daal Dhokli
want to try cream,Cotton Candy Ice Cream (Family Prepack)
nuggets pc 9,9 Pc Chicken Nuggets
zinger banao,Veg Zinger Burger with Cheese
mcnuggets like something,Chicken Surprise Burger + 4 Pc Chicken McNuggets + Coke
korean mc spicy chicken como (m),Korean Mc Spicy Chicken Burger Combo (M)
pepsi can 300 ml,Pepsi Black Can 300 ml
andhra,Andhra Veg Meals (For 1)
rice something,Punjabi Style Matar Paneer Steamed Rice Bowl
bowl [paratha] makhani dilliwala,Dilliwala Paneer Makhani [Paratha] Bowl
fruit something,Kesar Dry Fruit Lassi [200 ml]
[400g] spicy,Wheat Bread Loaf [400g]
cooler banao,Mint Lime Cooler
spanish like something,Iced Spanish Latte
moong wala,Desi Ghee Moong Dal Halwa [500 gm]
pasta loaded paneer,Paneer Loaded Arrabiatta Pasta
Korean Shake Shake Chickeen Nuggets 6 pc.,Korean Shake Shake Chicken Nuggets 6 pc.
kuch surprise chahiye,Chicken Surprise Burger + Fries (M)
Honey Nut Crunch Ice Cream (Small Scoop),Honey Nut Crunch Ice Cream (Small Scoop)
chicken spicy,Herbed Chicken Pesto Pasta
2) (for meals andhra,Andhra Non-veg Meals (For 2)
pc mcspicy fried chicken bucket + 1 coke,3 Pc McSpicy Fried Chicken Bucket + 1 Coke
pesto,"Pesto & Veggies Hearty Salad [512 Kcal, Low Cal..."
dream banao,Thai Roll Dream meal
paneer wala,Kadai paneer
dal fryy,Dal makhani
spicy chicken,Hot Chicken Wings - 4 pcs
Corn Tikki Pizza (jain),Corn Tikki Pizza (jain)
paravannam dinner,Paravannam
mcsaver korean mc aloo tikki,McSaver Korean Mc Aloo Tikki Burger.
chicken something,Mexican Grilled Chicken & Cheese Burger + Fries (M).
light try karna hai,Paneer Masala - Light Meal
reusable try karna hai,Masala Mirinda Reusable Bottle
tikka masala rice bowl,Paneer Tikka Masala Rice Bowl
tikka peri peri,Peri Peri Chicken Tikka
spicy chicken,Chicken Kheema Mini Rice Bowl
kuch kheer chahiye,Kheer sagar
something like classic,Classic Paneer Tikka [10 Pcs]
nong. burger tikki,McAloo Tikki Burger NONG.
5 mcspicy fried chicken bucket + 2 dips + 2,5 McSpicy Fried Chicken Bucket + 2 Dips + 2 Coke
korean wala,Korean Mc Spicy Paneer Burger Combo (M).
tamatar,Aloo Tamatar
meetha mcflurry,McFlurry Oreo ( M ).
wrap mozzarella chicken fried,Fried Chicken & Mozzarella Wrap
garlic aioli,Garlic Aioli 50ml
spicy schezwan,Schezwan Chicken Dry - Mini
pesto,Pesto & Mushroom Merry Salad [14g - High Protei...
buddha something,Paneer Buddha Bowl ( High Protein & Gluten Free )
something ultimate,Ultimate Savings Chicken Bucket
mutton kofta biryani bowl,Mutton Kofta Biryani Bowl (Boneless)
crispy chicken burger + mcchicken burger + fries (m).,Mc Crispy Chicken Burger + McChicken Burger + Fries (M).
mughlai,Mughlai Falafel Rice Bowl
shooting spicy,Shooting Star Ice Cream
pyaaz something,Aloo Pyaaz Paratha (2 pcs) with Curd & Pickle
dinner pahcadi,Pachadi
sandwich),Jacques (Butter Garlic Prawns & Aioli Sandwich)
masaledar shukto,Shukto
want to try patlu,Motu Patlu Kids Pizza Big Party Combo (Pack of 10)
loaded stix,Loaded Bread Stix
Kansar,Kansar
smoky red grilled - 1 pc,Smoky Red Grilled Chicken - 1 pc
meal for 2: veg paradise farmhouse,Meal for 2: Veg Paradise & Farmhouse
lunch khorisa,Khorisa
longer banao,Veg Longer Burger - 2pc
americano wala,Ice Americano Coffee
cheese & corn mexican,Mexican Corn & Cheese Burger.
dhaba stlye yellow dal and aloo tamatar meal,Dhaba Style Yellow Dal Tadka and Aloo Tamatar Meal
gelato burst cotton,Cotton Candy Burst Gelato
kuch (regular chahiye,Tender Coconut Ice Cream (Regular Scoop)
chicken tangy korean,Korean Tangy Chicken Roll
caramel wala,Salted Caramel Ice Cream
kuch khichdi chahiye,Khichdi
mcsavre,McSaver Korean Chicken Surprise Burger
something like lababdar,Chicken Lababdar Mini Rice Bowl
daark crepe,Dark Chocolate Crepe
kuch veg chahiye,Meal for 4: Veg Cheesy Pizza
herb chicken mighty [7g protein],Herb Chicken Mighty Bowl [74g Protein]
Sauce Mustard,Mustard Sauce
masor,Masor tenga
burst,Chicken Sausage Cheese Burst
crepe & caramel salted,Salted Caramel & Biscuit Crepe
Croissat,Croissant
dhaal fry,Dhal Fry
honey nut crunch ice cream(family,Honey Nut Crunch Ice Cream(family Prepack)
noodles wala,Crispy Noodles
light dinner,Palak Paneer - Light Meal
kuch coffee chahiye,Hot  Coffee Combo
steamed try karna hai,Steamed Basmati Rice
garlic,Garlic Knots  Infinity Bucket (35 units)
crispy veggie + mcaloo tikki,Crispy Veggie Burger + McAloo Tikki
amritsari wala,Amritsari Chole [Masala Rice] Bowl
rice like something,Mutton Bhuna Rice Bowl
something like chocolate,Three Cheers Chocolate Ice Cream
kuch samosa chahiye,Mini Aloo Samosa [Pack of 3]
5 course chicken feast,5 Course: Triple Chicken Hot & Fiery Rice Meal with Chicken Pops
sweet potato and tikki chaat ( vegan & gluten free ),Sweet Potato And Sabudana Tikki Chaat ( Vegan & Gluten Free )
Chawal Dal,Dal Chawal
kuch pedha chahiye,Dharwad pedha
spicy mcspicy,McSpicy Chicken Burger Protein Plus (2 Slices)
tea ice,Peach Ice Tea
smoky red grilled - 2 pc,Smoky Red Grilled Chicken - 2 pc
brown spicy,Brown Rice
dudhi spicy,Dudhi halwa
burger combo 2: mcspicy deluxe chicken burger,Burger Combo for 2: McSpicy Deluxe Chicken Burger
spicy burgeer+,Korean Mc Aloo Tikki Burger+ Korean Shake Shake Fries (M)
chicken wala,BBQ Baked Chicken Wings 4pc
three cheers chocolate ice cream,Three Cheers Chocolate Ice Cream (Tub)
meetha copra,Copra paak
something like crispy,Hot & Crispy Chicken - 8 pcs
chicken banao,4 Pcs Chicken Nuggets
kesar banao,Kesar Dry Fruit Lassi [200 ml]
make your meal,Make Your Own Meal
5 course goldn corn pizza,5 Course Meal: Golden Corn Pizza
gelato candy cotton,Cotton Candy Burst Gelato
salted butter popcorn ice,Salted Butter Popcorn Ice Cream
meetha chilli,Chilli Sauce Sachet
spicy vgegie,Fresh Veggie Cheese Burst
4 chicken wings + 2 mcspicy fried + 2 coke + 2 dips,4 Chicken Wings + 2 McSpicy Fried Chicken + 2 Coke + 2 Dips
mcveggie - package birthday,Birthday Party Package - McVeggie
spicy gulab,Gulab jamun
meetha khar,Khar
meetha sundae,Oreo Sundae ( M )
spciy aloo,Jeera Aloo
paneer keto salad [31g 527 kcal],"Paneer Keto Salad [31g Protein, 527 Kcal]"
(10cm),Classic Veggie Craver (10cm)
chicken spicy,Chicken Supreme
korean mc spicy paneer burger +korean yuzu- pop srpite,Korean Mc Spicy Paneer Burger +Korean Yuzu- Pop Sprite Combo
want to try wonderland,Cotton Candy Wonderland Gelato Sundae
meetha light,Aloo Dum - Light Meal
teekha kombdi,Kombdi vade
grilled chicken & cheese burger + veg pizaz,Grilled Chicken & Cheese Burger + Veg Pizza McPuff
spinach banao,Spinach Neer Dosa With Gassi ( Vegan / Jain / Gluten Free )
6 pc chicken nuggets + (m) + pri piri spice mix,6 Pc Chicken Nuggets + Fries (M) + Piri Piri Spice Mix
spicy premium,Korean Mc Spicy Premium Chicken Burger Combo (M)
Cappuccino Coffee (S),Cappuccino Coffee (S)
corn & burger + fries (r),Corn & Cheese Burger + Fries (R)
slices),McChicken Protein Burger Plus (2 Slices)
vegetarian turiya,Turiya Patra Vatana sabji
sweet appam,Unni Appam
masoor wala,Palak Masoor Dal Chawal
punjabi wala,Punjabi Chole - Feast Thali
masala chicken everyday thali,Masala Chicken - Everyday Thali
something tandoori,Tandoori Loaded Veg Taco
(med) pizza burst chicken,Shawarma Chicken Burst Pizza (Med)
Veg McMuffin with protein plus Meal,Veg McMuffin with protein plus Meal
sundae,Cotton Candy Wonderland Gelato Sundae
2 pc nuggets happy meal,2 Pc Chicken Nuggets Happy Meal
something mcmuffin,Sausage with Egg McMuffin 3 Pc Meal
special paneer rice bowl + 3 mini samosas,Pind Special Paneer Rice Bowl + 3 Mini Samosas
sesame stem pizza,Sesame Lotus Stem Pizza
reusable bottle,Mirinda Reusable Bottle
chicken spicy,Andhra Chicken Curry Rice Bowl
kuch moong chahiye,Ghar Ka Moong Dal Halwa [100 gm]
party for 2 (veg) @rs. 105 off,Special Party for 2 (Veg) @Rs. 105 off
kuch can chahiye,Mirinda Can 300 ml
juicy boneless,Juicy Boneless Chicken
Kara Kozhukattai (2 Pcs),Kara Kozhukattai (2 Pcs)
spicy egg - sandwich,Spicy Egg McMuffin - Sandwich
dal halwa,Moong Dal Halwa
sausage try karna hai,Sausage & Sweet Corn.
caramel biscuit ice cream,Caramel Biscuit Ice Cream Rocks
biryani wala,Dum Aloo Biryani Thali
fries shake shake korean,Korean Shake Shake Fries (M).
chicken banao,Chicken Keema Paratha Pizza
chicken like something,Hunan Chicken Dry - Full
(tub),Gold Medal Ribbon Ice Cream (Tub)
dal palak,Palak Masoor Dal
kuch mcspicy chahiye,Burger Combo for 2: McSpicy Chicken Burger
meetha extra,Extra Mayo Dip
aloo biryani bowl,Dum Aloo Biryani Bowl
sundae,Berry Me In Cheesecake Gelato Sundae
kuch korean chahiye,Korean Mc Aloo Tikki Burger Combo (M).
+korean something,Korean Mc Spicy Paneer Burger +Korean Yuzu- Pop Sprite Combo
something super,Chicken Tikka Super Bowl [74g Protein]
kuch coke chahiye,2 Mc Crispy Chicken Burger + Fries (L) + 2 Coke
hummus wala,Hummus & Bell Pepper Wrap
alphonso try karna hai,Alphonso Mango Ice Cream
makhani kofta rice bowl + gulab jamun,Malai Makhani Kofta Rice Bowl + Gulab Jamun
something half,Half Hyderabadi Paneer Dum Biryani
mc crispy chicken burger + mcspicy chicken wings - 2 pc + (m)..,Mc Crispy Chicken Burger + McSpicy Chicken Wings - 2 pc + Coke (M)..
cheese try karna hai,Cheese n Corn Cheese Burst
(tub) cream ice splish,Splish Splash Ice Cream (Tub)
veg bhature,Chole bhature
bowl rice] [steamed chole,Amritsari Chole [Steamed Rice] Bowl
keerai dinner,Keerai masiyal
chicken wala,Korean Shake Shake Chicken Nuggets 6 pc.
sun-dried wala,Mac & Cheese with Sun-dried Tomatoes
meetha tamatar,Aloo Tamatar
6 pc chicken nuggets + burger + coke,6 Pc Chicken Nuggets + McChicken Burger + Coke
want to try garlic,Garlic Aioli 50ml
chole chawal mini bowl + chawal mini bowl,Chole Chawal Mini Bowl + Rajma Chawal Mini Bowl
tomatoes,Mac & Cheese with Sun-dried Tomatoes
chicken wala,Chicken Keema Melt
bowl something,Rice Krunch Bowl Combo
creamy chicken tikka bowl,Creamy Chicken Tikka Rice Bowl
bowl. hakka veg,Veg Hakka Noodles Bowl.
want to try vanilla,Cappuccino Small with French Vanilla
something supreme,Chicken Supreme Thin n Crispy
meetha pantua,Pantua
cheesy tikka,Cheesy Paneer Tikka
south indian dish,Kaara kozhambu
classic,Classic Chicken Roll Feast
chicken surprise burger + fries,Chicken Surprise Burger + Fries (M)
cotton spicy,Cotton Candy Ice Cream Rocks
want to try aloo,NH1 Special Aloo Palak Paratha Bowl
[multigrain] wala,Chicken Kingdom Pizza [Multigrain]
tadka course main,Dal tadka
pain au chocolat [1,Pain Au Chocolat [1 Piece]
meetha chicken,Hot & Crispy Chicken - 6 pcs
something like caramel,Salted Caramel Choco Mousse
kuzhambu dinner,Kuzhambu
Veg Kolhapuri,Veg Kolhapuri
chocochip wala,Chocochip Muffin
something mcmuffin,Sausage McMuffin - Sandwich
mexican grilled chicken cheese + coke (m).,Mexican Grilled Chicken Cheese Burger + Coke (M).
alcoholic something,Coolberg Non Alcoholic Beer -Malt (330 Ml)
bottle,Schweppes Water bottle
tangdi tandoori,Tandoori Tangdi (3Pcs)
something like chocolate,Death by Chocolate Cake Jar
chicken spicy,Chef's Special Chicken Biryani Thali
pro burger,Zinger Pro Burger
lunch dom,Konir Dom
mexican corn and cheese + coke (m),Mexican Corn and Cheese Burger + Coke (M)
curry spicy,Egg Curry - Feast Thali
toor like something,Ghee Toor Dal Khichdi Thali
rasam try karna hai,Rasam Rice and Chicken Masala Fry Bowl
proein],Chicken Peppy Salad [40g Protein]
pepper,Pepper Roasted Oyster Mushroom ( Gluten Free )
spicy deam,Thai Roll Dream meal
lauki wala,Lauki ki subji
fiery pepperoni garliic bread,Fiery Pepperoni Garlic Bread
sandwich spicy,Tuna Sandwich
something like tikka,Creamy Chicken Tikka Rice Bowl
want to try gulab,Paneer Handi Mughal Biryani + Gulab Jamun + Lem...
hyderabdi egg dum biryani,Half Hyderabadi Egg Dum Biryani
veggie goodness sandwich [14g,Veggie Goodness Sandwich [14g Protein]
lunch chiken,Tandoori Chicken
veg keerai,Keerai masiyal
grilled,Grilled Wings Signature Garlic
mc crispy chicken + mcspicy chicken wings - 2 pc + coke (m),Mc Crispy Chicken Burger + McSpicy Chicken Wings - 2 pc + Coke (M)
something like palak,Aloo Palak - Light Meal
kuch coastal chahiye,Coastal Chicken Curry Ghee Rice Bowl
paneer with something,Paneer tikka masala
want to try off,Special Party for 2 (Non-Veg) @Rs. 115 off
1 mcspicy fried chk + 1 crispy fried chk + 4 + 2 coke + 2 dips,1 McSpicy Fried Chk + 1 Crispy Fried Chk + 4 Wings + 2 Coke + 2 Dips
cheese like something,Italian Chicken Pepperoni Cheese Garlic Bread
frappuccino something,Espresso Frappuccino
pizza pepperoni,Pork Pepperoni Pizza
khichdi spicy,Kadhi & Khichdi Thali
laddu sweet,Laddu
something chicken,Peri Peri Chicken Strips - 3 pc
homestyle banao,Homestyle Rajma - Light Meal
masala reusable bottle,Masala Pepsi Reusable Bottle
something like tandoori,Tandoori Flavour Dip - 20 gm
obbattu banao,Obbattu holige
kuch multi-millet chahiye,McSpicy Paneer Burger with Multi-Millet Bun
